Installed packages
default-fonts-ss.noarch                              4.2-5.fc43                          
default-fonts-syr.noarch                             4.2-5.fc43                          
default-fonts-ta.noarch                              4.2-5.fc43                          
default-fonts-te.noarch                              4.2-5.fc43                          
default-fonts-th.noarch                              4.2-5.fc43                          
default-fonts-tn.noarch                              4.2-5.fc43                          
default-fonts-ts.noarch                              4.2-5.fc43                          
default-fonts-uk.noarch                              4.2-5.fc43                          
default-fonts-ur.noarch                              4.2-5.fc43                          
default-fonts-ve.noarch                              4.2-5.fc43                          
default-fonts-vi.noarch                              4.2-5.fc43                          
default-fonts-xh.noarch                              4.2-5.fc43                          
default-fonts-yi.noarch                              4.2-5.fc43                          
default-fonts-zu.noarch                              4.2-5.fc43                          
dejavu-sans-fonts.noarch                             2.37-26.fc43                        
dejavu-sans-mono-fonts.noarch                        2.37-26.fc43                        
deltarpm.x86_64                                      3.6.5-6.fc43                        
desktop-backgrounds-compat.noarch                    43.0.0-2.fc43                       
desktop-file-utils.x86_64                            0.28-2.fc43                         
device-mapper.x86_64                                 1.02.208-2.fc43                     
device-mapper-event.x86_64                           1.02.208-2.fc43                     
device-mapper-event-libs.x86_64                      1.02.208-2.fc43                     
device-mapper-libs.x86_64                            1.02.208-2.fc43                     
device-mapper-persistent-data.x86_64                 1.1.0-4.fc43                        
dhcp-client.x86_64                                   12:4.4.3-22.fc43                    
dhcp-common.noarch                                   12:4.4.3-22.fc43                    
dia.x86_64                                           1:0.97.3-30.fc43                    
diffutils.x86_64                                     3.12-3.fc43                         
djvulibre-libs.x86_64                                3.5.28-14.fc43                      
dmidecode.x86_64                                     1:3.6-7.fc43                        
dnf-data.noarch                                      4.24.0-1.fc43                       
dnf-plugins-core.noarch                              4.10.1-6.fc43                       
dnf4-plugin-notify-PackageKit.noarch                 1.3.4-1.fc43                        
dnf5.x86_64                                          5.2.18.0-2.fc43                     
dnf5-plugins.x86_64                                  5.2.18.0-2.fc43                     
dnf5daemon-server.x86_64                             5.2.18.0-2.fc43                     
dnfdragora.noarch                                    2.99.0^git20250421.1.2f707ee-5.fc43 
dnfdragora-updater.noarch                            2.99.0^git20250421.1.2f707ee-5.fc43 
dns-root-data.noarch                                 2026260100-2.fc43                   
dnsmasq.x86_64                                       2.92-1.fc43                         
dos2unix.x86_64                                      7.5.3-1.fc43                        
dosfstools.x86_64                                    4.2-16.fc43                         
dotconf.x86_64                                       1.4.1-5.fc43                        
double-conversion.x86_64                             3.4.0-1.fc43                        
doxygen.x86_64                                       2:1.14.0-5.fc43                     
dracut.x86_64                                        107-8.fc43                          
dracut-config-rescue.x86_64                          107-8.fc43                          
dracut-live.x86_64                                   107-8.fc43                          
dracut-network.x86_64                                107-8.fc43                          
dracut-squash.x86_64                                 107-8.fc43                          
duktape.x86_64                                       2.7.0-10.fc43                       
e2fsprogs.x86_64                                     1.47.3-2.fc43                       
e2fsprogs-libs.x86_64                                1.47.3-2.fc43                       
ed.x86_64                                            1.22.2-1.fc43                       
efi-filesystem.noarch                                6-4.fc43                            
efibootmgr.x86_64                                    18-10.fc43                          
efivar-libs.x86_64                                   39-10.fc43                          
eigen3-devel.noarch                                  3.4.0-18.fc43                       
eigen3-doc.noarch                                    3.4.0-18.fc43                       
elfutils.x86_64                                      0.194-1.fc43                        
elfutils-debuginfod-client.x86_64                    0.194-1.fc43                        
elfutils-default-yama-scope.noarch                   0.194-1.fc43                        
elfutils-libelf.x86_64                               0.194-1.fc43                        
elfutils-libs.x86_64                                 0.194-1.fc43                        
emacs.x86_64                                         1:30.2-6.fc43                       
emacs-common.x86_64                                  1:30.2-6.fc43                       
emacs-filesystem.noarch                              1:30.0-5.fc43                       
emacs-gtk+x11.x86_64                                 1:30.2-6.fc43                       
emacs-pgtk.x86_64                                    1:30.2-6.fc43                       
emacsclient.x86_64                                   1:30.2-6.fc43                       
enchant.x86_64                                       1:1.6.0-40.fc43                     
enchant2.x86_64                                      2.8.15-1.fc43                       
epstool.x86_64                                       3.08-32.fc43                        
espeak-ng.x86_64                                     1.51.1-12.fc43                      
ethtool.x86_64                                       2:6.19-1.fc43                       
evince.x86_64                                        48.1-1.fc43                         
evince-djvu.x86_64                                   48.1-1.fc43                         
evince-libs.x86_64                                   48.1-1.fc43                         
evince-previewer.x86_64                              48.1-1.fc43                         
evince-thumbnailer.x86_64                            48.1-1.fc43                         
exempi.x86_64                                        2.6.4-8.fc43                        
exfatprogs.x86_64                                    1.3.2-1.fc43                        
exiv2.x86_64                                         0.28.6-2.fc43                       
exiv2-libs.x86_64                                    0.28.6-2.fc43                       
exo.x86_64                                           4.20.0-3.fc43                       
expat.x86_64                                         2.7.3-1.fc43                        
f2fs-tools.x86_64                                    1.16.0-9.fc43                       
f43-backgrounds-base.noarch                          43.0.4-1.fc43                       
faad2-libs.x86_64                                    1:2.11.2-5.fc43                     
farstream02.x86_64                                   0.2.9-19.fc43                       
fdk-aac-free.x86_64                                  2.0.0-16.fc43                       
fedora-gpg-keys.noarch                               43-1                                
fedora-logos.noarch                                  42.0.1-2.fc43                       
fedora-release-common.noarch                         43-26                               
fedora-release-identity-xfce.noarch                  43-26                               
fedora-release-xfce.noarch                           43-26                               
fedora-repos.noarch                                  43-1                                
ffmpeg-free.x86_64                                   7.1.2-4.fc43                        
fftw-libs-double.x86_64                              3.3.10-16.fc43                      
fftw-libs-single.x86_64                              3.3.10-16.fc43                      
file.x86_64                                          5.46-9.fc43                         
file-libs.x86_64                                     5.46-9.fc43                         
filesystem.x86_64                                    3.18-50.fc43                        
findutils.x86_64                                     1:4.10.0-6.fc43                     
firefox.x86_64                                       149.0.2-1.fc43                      
firefox-langpacks.x86_64                             149.0.2-1.fc43                      
firewall-config.noarch                               2.3.2-1.fc43                        
firewalld.noarch                                     2.3.2-1.fc43                        
firewalld-filesystem.noarch                          2.3.2-1.fc43                        
flac.x86_64                                          1.5.0-5.fc43                        
flac-devel.x86_64                                    1.5.0-5.fc43                        
flac-libs.x86_64                                     1.5.0-5.fc43                        
flashrom.x86_64                                      1.4.0-3.fc43                        
flatpak.x86_64                                       1.16.3-1.fc43                       
flatpak-libs.x86_64                                  1.16.3-1.fc43                       
flatpak-selinux.noarch                               1.16.3-1.fc43                       
flatpak-session-helper.x86_64                        1.16.3-1.fc43                       
flex.x86_64                                          2.6.4-20.fc43                       
flexiblas.x86_64                                     3.5.0-1.fc43                        
flexiblas-netlib.x86_64                              3.5.0-1.fc43                        
flexiblas-netlib64.x86_64                            3.5.0-1.fc43                        
