default-fonts-core-serif.noarch                      4.3-1.fc44                          
default-fonts-dv.noarch                              4.3-1.fc44                          
default-fonts-dz.noarch                              4.3-1.fc44                          
default-fonts-el.noarch                              4.3-1.fc44                          
default-fonts-eo.noarch                              4.3-1.fc44                          
default-fonts-eu.noarch                              4.3-1.fc44                          
default-fonts-fa.noarch                              4.3-1.fc44                          
default-fonts-got.noarch                             4.3-1.fc44                          
default-fonts-gu.noarch                              4.3-1.fc44                          
default-fonts-he.noarch                              4.3-1.fc44                          
default-fonts-hi.noarch                              4.3-1.fc44                          
default-fonts-hy.noarch                              4.3-1.fc44                          
default-fonts-ia.noarch                              4.3-1.fc44                          
default-fonts-ii.noarch                              4.3-1.fc44                          
default-fonts-iu.noarch                              4.3-1.fc44                          
default-fonts-ka.noarch                              4.3-1.fc44                          
default-fonts-kab.noarch                             4.3-1.fc44                          
default-fonts-km.noarch                              4.3-1.fc44                          
default-fonts-kn.noarch                              4.3-1.fc44                          
default-fonts-ku.noarch                              4.3-1.fc44                          
default-fonts-lo.noarch                              4.3-1.fc44                          
default-fonts-mai.noarch                             4.3-1.fc44                          
default-fonts-ml.noarch                              4.3-1.fc44                          
default-fonts-mni.noarch                             4.3-1.fc44                          
default-fonts-mr.noarch                              4.3-1.fc44                          
default-fonts-my.noarch                              4.3-1.fc44                          
default-fonts-nb.noarch                              4.3-1.fc44                          
default-fonts-ne.noarch                              4.3-1.fc44                          
default-fonts-nn.noarch                              4.3-1.fc44                          
default-fonts-nqo.noarch                             4.3-1.fc44                          
default-fonts-nr.noarch                              4.3-1.fc44                          
default-fonts-nso.noarch                             4.3-1.fc44                          
default-fonts-or.noarch                              4.3-1.fc44                          
default-fonts-other-mono.noarch                      4.3-1.fc44                          
default-fonts-other-sans.noarch                      4.3-1.fc44                          
default-fonts-other-serif.noarch                     4.3-1.fc44                          
default-fonts-pa.noarch                              4.3-1.fc44                          
default-fonts-ru.noarch                              4.3-1.fc44                          
default-fonts-sat.noarch                             4.3-1.fc44                          
default-fonts-si.noarch                              4.3-1.fc44                          
default-fonts-ss.noarch                              4.3-1.fc44                          
default-fonts-syr.noarch                             4.3-1.fc44                          
default-fonts-ta.noarch                              4.3-1.fc44                          
default-fonts-te.noarch                              4.3-1.fc44                          
default-fonts-th.noarch                              4.3-1.fc44                          
default-fonts-tn.noarch                              4.3-1.fc44                          
default-fonts-ts.noarch                              4.3-1.fc44                          
default-fonts-uk.noarch                              4.3-1.fc44                          
default-fonts-ur.noarch                              4.3-1.fc44                          
default-fonts-ve.noarch                              4.3-1.fc44                          
default-fonts-vi.noarch                              4.3-1.fc44                          
default-fonts-xh.noarch                              4.3-1.fc44                          
default-fonts-yi.noarch                              4.3-1.fc44                          
default-fonts-zu.noarch                              4.3-1.fc44                          
dejavu-sans-mono-fonts.noarch                        2.37-29.fc44                        
deltarpm.x86_64                                      3.6.5-8.fc44                        
desktop-backgrounds-compat.noarch                    44.0.0-2.fc44                       
desktop-file-utils.x86_64                            0.28-5.fc44                         
device-mapper.x86_64                                 1.02.212-2.fc44                     
device-mapper-event.x86_64                           1.02.212-2.fc44                     
device-mapper-event-libs.x86_64                      1.02.212-2.fc44                     
device-mapper-libs.x86_64                            1.02.212-2.fc44                     
device-mapper-persistent-data.x86_64                 1.3.1-3.fc44                        
diffutils.x86_64                                     3.12-5.fc44                         
djvulibre-libs.x86_64                                3.5.28-16.fc44                      
dmidecode.x86_64                                     1:3.6-9.fc44                        
dnf-data.noarch                                      4.24.0-3.fc44                       
dnf-plugins-core.noarch                              4.10.1-9.fc44                       
dnf5.x86_64                                          5.4.2.0-1.fc44                      
dnf5-plugins.x86_64                                  5.4.2.0-1.fc44                      
dnf5daemon-server.x86_64                             5.4.2.0-1.fc44                      
dnfdragora.noarch                                    2.99.0^git20250421.1.2f707ee-7.fc44 
dnfdragora-updater.noarch                            2.99.0^git20250421.1.2f707ee-7.fc44 
dns-root-data.noarch                                 2026260100-2.fc44                   
dnsmasq.x86_64                                       2.92-4.fc44                         
dos2unix.x86_64                                      7.5.3-3.fc44                        
dosfstools.x86_64                                    4.2-18.fc44                         
dotconf.x86_64                                       1.4.1-7.fc44                        
double-conversion.x86_64                             3.4.0-3.fc44                        
dracut.x86_64                                        108-6.fc44                          
dracut-config-rescue.x86_64                          108-6.fc44                          
dracut-live.x86_64                                   108-6.fc44                          
dracut-network.x86_64                                108-6.fc44                          
duktape.x86_64                                       2.7.0-11.fc44                       
e2fsprogs.x86_64                                     1.47.3-4.fc44                       
e2fsprogs-libs.x86_64                                1.47.3-4.fc44                       
ed.x86_64                                            1.22.5-2.fc44                       
efi-filesystem.noarch                                6-6.fc44                            
efibootmgr.x86_64                                    18-11.fc44                          
efivar-libs.x86_64                                   39-12.fc44                          
elfutils.x86_64                                      0.195-1.fc44                        
elfutils-debuginfod-client.x86_64                    0.195-1.fc44                        
elfutils-default-yama-scope.noarch                   0.195-1.fc44                        
elfutils-libelf.x86_64                               0.195-1.fc44                        
elfutils-libs.x86_64                                 0.195-1.fc44                        
emacs-filesystem.x86_64                              1:30.2-2.fc44                       
enchant.x86_64                                       1:1.6.0-41.fc44                     
enchant2.x86_64                                      2.8.15-1.fc44                       
espeak-ng.x86_64                                     1.52.0-3.fc44                       
ethtool.x86_64                                       2:6.19-1.fc44                       
exempi.x86_64                                        2.6.4-9.fc44                        
exfatprogs.x86_64                                    1.3.2-1.fc44                        
exiv2.x86_64                                         0.28.6-3.fc44                       
exiv2-libs.x86_64                                    0.28.6-3.fc44                       
exo.x86_64                                           4.20.0-4.fc44                       
expat.x86_64                                         2.7.3-2.fc44                        
f2fs-tools.x86_64                                    1.16.0-10.fc44                      
f44-backgrounds-base.noarch                          44.0.0-1.fc44                       
faad2-libs.x86_64                                    1:2.11.2-6.fc44                     
farstream02.x86_64                                   0.2.9-20.fc44                       
fdk-aac-free.x86_64                                  2.0.3-2.fc44                        
fedora-gpg-keys.noarch                               44-1                                
fedora-logos.noarch                                  42.0.1-3.fc44                       
fedora-release-common.noarch                         44-17                               
fedora-release-identity-xfce.noarch                  44-17                               
fedora-release-xfce.noarch                           44-17                               
fedora-repos.noarch                                  44-1                                
ffmpeg-free.x86_64                                   8.0.1-6.fc44                        
fftw-libs-double.x86_64                              3.3.10-17.fc44                      
fftw-libs-single.x86_64                              3.3.10-17.fc44                      
file.x86_64                                          5.46-10.fc44                        
file-libs.x86_64                                     5.46-10.fc44                        
filesystem.x86_64                                    3.18-52.fc44                        
findutils.x86_64                                     1:4.10.0-7.fc44                     
firefox.x86_64                                       150.0-1.fc44                        
firefox-langpacks.x86_64                             150.0-1.fc44                        
firewall-config.noarch                               2.4.0-2.fc44                        
firewalld.noarch                                     2.4.0-2.fc44                        
firewalld-filesystem.noarch                          2.4.0-2.fc44                        
flac.x86_64                                          1.5.0-8.fc44                        
flac-libs.x86_64                                     1.5.0-8.fc44                        
flashrom.x86_64                                      1.6.0-3.fc44                        
flatpak.x86_64                                       1.17.6-1.fc44                       
flatpak-libs.x86_64                                  1.17.6-1.fc44                       
flatpak-selinux.noarch                               1.17.6-1.fc44                       
flatpak-session-helper.x86_64                        1.17.6-1.fc44                       
flite.x86_64                                         2.2-13.fc44                         
fmt.x86_64                                           11.2.0-4.fc44                       
fontconfig.x86_64                                    2.17.0-4.fc44                       
fonts-filesystem.noarch                              1:5.0.0-2.fc44                      
fpaste.noarch                                        0.5.0.0-4.fc44                      
fprintd.x86_64                                       1.94.5-5.fc44                       
fprintd-pam.x86_64                                   1.94.5-5.fc44                       
freeglut.x86_64                                      3.8.0-2.fc44                        
freerdp-libs.x86_64                                  2:3.24.2-1.fc44                     
freetype.x86_64                                      2.14.3-1.fc44                       
fribidi.x86_64                                       1.0.16-4.fc44                       
fstrm.x86_64                                         0.6.1-14.fc44                       
fuse.x86_64                                          2.9.9-25.fc44                       
fuse-common.x86_64                                   3.18.2-1.fc44                       
fuse3.x86_64                                         3.18.2-1.fc44                       
fuse3-libs.x86_64                                    3.18.2-1.fc44                       
fwupd.x86_64                                         2.1.1-1.fc44                        
fwupd-efi.x86_64                                     1.8-1.fc44                          
fwupd-plugin-flashrom.x86_64                         2.1.1-1.fc44                        
fwupd-plugin-modem-manager.x86_64                    2.1.1-1.fc44                        
fwupd-plugin-uefi-capsule-data.x86_64                2.1.1-1.fc44                        
galculator.x86_64                                    2.1.4-25.fc44                       
game-music-emu.x86_64                                0.6.4-3.fc44                        
garcon.x86_64                                        4.20.0-4.fc44                       
gawk.x86_64                                          5.3.2-3.fc44                        
gawk-all-langpacks.x86_64                            5.3.2-3.fc44                        
gcr-libs.x86_64                                      4.4.0.1-7.fc44                      
gcr3.x86_64                                          3.41.1-12.fc44                      
gcr3-base.x86_64                                     3.41.1-12.fc44                      
gd.x86_64                                            2.3.3-21.fc44                       
gdb.x86_64                                           17.1-4.fc44                         
gdb-headless.x86_64                                  17.1-4.fc44                         
gdbm.x86_64                                          1:1.23-11.fc44                      
gdbm-libs.x86_64                                     1:1.23-11.fc44                      
gdk-pixbuf2.x86_64                                   2.44.4-2.fc44                       
gdk-pixbuf2-modules-extra.x86_64                     2.44.0-2.fc44                       
gdouros-symbola-fonts.noarch                         10.24-19.fc44                       
geany.x86_64                                         2.1-4.fc44                          
geany-libgeany.x86_64                                2.1-4.fc44                          
geoclue2.x86_64                                      2.8.0-2.fc44                        
gettext-envsubst.x86_64                              0.26-4.fc44                         
gettext-libs.x86_64                                  0.26-4.fc44                         
gettext-runtime.x86_64                               0.26-4.fc44                         
ghostscript.x86_64                                   10.06.0-2.fc44                      
ghostscript-tools-fontutils.noarch                   10.06.0-2.fc44                      
ghostscript-tools-printing.noarch                    10.06.0-2.fc44                      
giflib.x86_64                                        6.1.3-1.fc44                        
glib-networking.x86_64                               2.80.1-4.fc44                       
glib2.x86_64                                         2.88.0-1.fc44                       
glibc.x86_64                                         2.43-3.fc44                         
glibc-all-langpacks.x86_64                           2.43-3.fc44                         
glibc-common.x86_64                                  2.43-3.fc44                         
glibc-gconv-extra.x86_64                             2.43-3.fc44                         
glibmm2.4.x86_64                                     2.66.8-3.fc44                       
glibmm2.68.x86_64                                    2.88.0-1.fc44                       
glx-utils.x86_64                                     9.0.0-11.fc44                       
glycin-libs.x86_64                                   2.1.1-1.fc44                        
glycin-loaders.x86_64                                2.1.1-1.fc44                        
gmp.x86_64                                           1:6.3.0-5.fc44                      
gnome-abrt.x86_64                                    1:1.4.3-9.fc44                      
gnome-disk-utility.x86_64                            46.1-4.fc44                         
gnome-icon-theme.noarch                              3.12.0-27.fc44                      
gnome-keyring.x86_64                                 50.0-1.fc44                         
gnome-keyring-pam.x86_64                             50.0-1.fc44                         
gnulib-l10n.noarch                                   20241231-2.fc44                     
gnupg2.x86_64                                        2.4.9-7.fc44                        
gnupg2-dirmngr.x86_64                                2.4.9-7.fc44                        
gnupg2-gpg-agent.x86_64                              2.4.9-7.fc44                        
gnupg2-gpgconf.x86_64                                2.4.9-7.fc44                        
gnupg2-keyboxd.x86_64                                2.4.9-7.fc44                        
gnupg2-verify.x86_64                                 2.4.9-7.fc44                        
gnutls.x86_64                                        3.8.12-1.fc44                       
gnutls-dane.x86_64                                   3.8.12-1.fc44                       
go-l2tp.x86_64                                       0.1.8-4.fc44                        
gobject-introspection.x86_64                         1.86.0-3.fc44                       
google-carlito-fonts.noarch                          1.103-0.28.20130920.fc44            
google-crosextra-caladea-fonts.noarch                1:1.002-0.22.20130214.fc44          
google-droid-sans-fonts.noarch                       20200215-24.fc44                    
google-noto-color-emoji-fonts.noarch                 20250623-4.fc44                     
google-noto-emoji-fonts.noarch                       20250623-4.fc44                     
google-noto-fonts-common.noarch                      20251201-2.fc44                     
google-noto-naskh-arabic-vf-fonts.noarch             20251201-2.fc44                     
google-noto-sans-arabic-vf-fonts.noarch              20251201-2.fc44                     
google-noto-sans-armenian-vf-fonts.noarch            20251201-2.fc44                     
google-noto-sans-bengali-vf-fonts.noarch             20251201-2.fc44                     
google-noto-sans-canadian-aboriginal-vf-fonts.noarch 20251201-2.fc44                     
google-noto-sans-cherokee-vf-fonts.noarch            20251201-2.fc44                     
google-noto-sans-cjk-vf-fonts.noarch                 1:2.004-11.fc44                     
google-noto-sans-devanagari-vf-fonts.noarch          20251201-2.fc44                     
google-noto-sans-ethiopic-vf-fonts.noarch            20251201-2.fc44                     
google-noto-sans-georgian-vf-fonts.noarch            20251201-2.fc44                     
google-noto-sans-gothic-fonts.noarch                 20251201-2.fc44                     
google-noto-sans-gujarati-vf-fonts.noarch            20251201-2.fc44                     
google-noto-sans-gurmukhi-vf-fonts.noarch            20251201-2.fc44                     
google-noto-sans-hebrew-vf-fonts.noarch              20251201-2.fc44                     
google-noto-sans-kannada-vf-fonts.noarch             20251201-2.fc44                     
google-noto-sans-khmer-vf-fonts.noarch               20251201-2.fc44                     
google-noto-sans-lao-vf-fonts.noarch                 20251201-2.fc44                     
google-noto-sans-math-fonts.noarch                   20251201-2.fc44                     
